"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9519497,25/10/2021 17:00,25/10/2021 18:00,MS TEAMS,"[Kashvi Gandhi, Isolde Hegemann]",6
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9598838,01/02/2022 14:00,01/02/2022 15:00,MS TEAMS,"[Shurjo Rana, Eshwar Seshagiri]",4
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 6: Using Macros,Productivity tools,9630771,23/03/2022 10:00,23/03/2022 11:00,LBR.R.08,"[Jing Soh, Lidya Stamper]",3
"[Using IT, Research, Career Development]",Working with Tabular Data 1: NumPy Arrays (online),Data science tools and coding,9546966,06/12/2021 11:00,06/12/2021 12:00,https://lse.zoom.us/j/86377657285,[Andrew Moles],0
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 4: Debugging and Troubleshooting (online),Productivity tools,9679671,01/06/2022 10:00,01/06/2022 11:00,MS TEAMS,"[Manuela Capony, Bethanie Lim]",1
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 6: Using Macros (online),Productivity tools,9624245,09/03/2022 10:00,09/03/2022 11:00,MS TEAMS,"[Min Qi Boo, Bethanie Lim]",6
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 5: Report Generation (online),Productivity tools,9580288,26/01/2022 10:00,26/01/2022 11:00,MS TEAMS,"[Min Qi Boo, Jack Downes]",1
"[Using IT, Research, Career Development]",Tableau 2: Filtering and Sorting (online),Data science tools and coding,9623896,17/03/2022 13:00,17/03/2022 14:00,https://lse.zoom.us/j/85869172503,[Giorgia Cecchinato],6
"[Using IT, Research, Career Development]",Tableau 1: Introduction to Tableau (online),Data science tools and coding,9540097,15/11/2021 14:00,15/11/2021 15:00,https://lse.zoom.us/j/86303415216,[Giorgia Cecchinato],5
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 2: Numeric Calculations (online),Productivity tools,9599179,08/02/2022 11:00,08/02/2022 12:00,MS TEAMS,"[Bardia Bijani Aval, Lidya Stamper]",8
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions,Productivity tools,9626470,16/03/2022 10:00,16/03/2022 11:00,LBR.R.08,"[Jing Soh, Lidya Stamper]",5
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 3: Essential Functions (online),Productivity tools,9630839,25/03/2022 14:00,25/03/2022 15:00,MS TEAMS,"[Shurjo Rana, Eshwar Seshagiri]",4
"[Using IT, Research, Career Development]",Python Fundamentals 7: For loops (online),Data science tools and coding,9623909,15/03/2022 10:00,15/03/2022 11:00,https://lse.zoom.us/j/87445584175,[Ximin Chen],5
"[Using IT, Research, Career Development]",Tableau 1: Introduction to Tableau (online),Data science tools and coding,9507266,14/10/2021 13:00,14/10/2021 14:00,https://lse.zoom.us/j/86303415216,[Giorgia Cecchinato],8
