company,rank,revenues,revenue_change,profits,assets,profit_change,sector,country,years_on_global_500_list,employees,total_stockholder_equity
U.S. Bancorp,481,22744,5.8,5888,445964,0.2,Financials,USA,12,71191,47298
H & M Hennes & Mauritz,482,22618,4.6,2192.3,10681,-12.3,Retailing,Sweden,2,114586,6635
Aflac,483,22559,8.1,2659,129819,5,Financials,USA,10,10212,20482
Sodexo,484,22477,-2,707.2,15766,-12.7,"Hotels, Restaurants & Leisure",France,18,425594,4085
Suning Commerce Group,485,22366,3.7,106,19738,-23.6,Retailing,China,1,60354,9455
GS Caltex,486,22207,-11.4,1221.1,15969,42.1,Energy,South Korea,6,2949,8150
Ultrapar Holdings,487,22167,-2.3,447.5,7426,-0.8,Energy,Brazil,8,15173,2621
Xiamen C&D,488,22145,6.6,280.2,21729,15.6,Wholesalers,China,1,18381,3985
Sears Holdings,489,22138,-12,-2221,9362,,Retailing,USA,23,140000,-3824
China General Technology,490,22113,-20.1,413.6,20860,-20.8,Engineering & Construction,China,4,38589,5114
National Grid,491,22036,-3.2,10150.6,82310,160.2,Energy,Britain,12,22132,25463
Dollar General,492,21987,7.9,1251.1,11672,7.4,Retailing,USA,1,121000,5406
Telecom Italia,493,21941,-17.4,1999.4,74295,,Telecommunications,Italy,18,61227,22366
Xiamen ITG Holding Group,494,21930,34.3,35.6,12161,-25.1,Wholesalers,China,1,18454,1066
Xinjiang Guanghui Industry Investment,495,21919,31.1,251.8,31957,49.9,Wholesalers,China,1,65616,4563
Teva Pharmaceutical Industries,496,21903,11.5,329,92890,-79.3,Health Care,Israel,1,56960,33337
New China Life Insurance,497,21796,-13.3,743.9,100609,-45.6,Financials,China,2,54378,8507
Wm. Morrison Supermarkets,498,21741,-11.3,406.4,11630,20.4,Food & Drug Stores,Britain,13,77210,5111
TUI,499,21655,-5.5,1151.7,16247,195.5,Business Services,Germany,23,66779,3006
AutoNation,500,21609,3.6,430.5,10060,-2.7,Retailing,USA,12,26000,2310
