Country Name,Country Code,Region,renergy,co2,gdppc
Fiji,FJI,East Asia & Pacific,31.26394709,1.7383656140000001,5390.714207
Guyana,GUY,Latin America & Caribbean,25.25872772,2.671242962,5576.82607
Sierra Leone,SLE,Latin America & Caribbean,77.66055863,0.131066917,588.2288628
Togo,TGO,East Asia & Pacific,71.26466714,0.248526524,570.9099672
Eswatini,SWZ,Latin America & Caribbean,66.10465921,0.9329389020000001,3679.8197979999995
Montenegro,MNE,East Asia & Pacific,43.00406055,3.793242563,6517.163752
Somalia,SOM,Europe & Central Asia,94.28596661,0.047110994,293.4551719
Liberia,LBR,Middle East & North Africa,83.84704334,0.28173870300000003,710.3840166
Burundi,BDI,Sub-Saharan Africa,95.67892425,0.040354196,305.549646
Andorra,AND,Europe & Central Asia,19.74780863,6.026181837,35770.7767
Djibouti,DJI,Middle East & North Africa,15.38059522,0.590810921,2658.964207
Bhutan,BTN,South Asia,86.90454832,1.31888966,2752.6301719999997
Belize,BLZ,Latin America & Caribbean,35.0236296,1.828629691,4770.232656
Central African Republic,CAF,Sub-Saharan Africa,76.56702001,0.06899359,377.422919
Cabo Verde,CPV,Sub-Saharan Africa,26.5797159,0.9528528409999999,3043.031382
"Gambia, The",GMB,Sub-Saharan Africa,51.50886249,0.254091837,660.7235712
Seychelles,SYC,Middle East & North Africa,1.352935548,5.352230274,14745.34146
Antigua and Barbuda,ATG,Latin America & Caribbean,0.0,5.2366652060000005,14285.329780000002
Solomon Islands,SLB,Sub-Saharan Africa,63.3074464,0.51398282,2167.119928
Guinea-Bissau,GNB,Sub-Saharan Africa,86.85179394,0.161178259,603.3993815
Grenada,GRD,Latin America & Caribbean,10.91957215,2.46343622,9096.538652
Comoros,COM,Sub-Saharan Africa,45.33305239,0.23153061,1242.5856820000001
St. Kitts and Nevis,KNA,East Asia & Pacific,1.642191194,4.687133818,18028.973430000002
Samoa,WSM,Europe & Central Asia,34.32489441,1.240245982,4073.729164
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,5.8074333970000005,2.015851927,6921.7024790000005
Dominica,DMA,Latin America & Caribbean,7.82979664,2.528977871,7597.288893999999
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,1.196237862,1.3775875690000001,2906.617012
Sao Tome and Principe,STP,Latin America & Caribbean,41.05599898,0.601687734,1584.7756570000001
Palau,PLW,East Asia & Pacific,0.0,12.45400509,15876.461930000001
Kiribati,KIR,Latin America & Caribbean,4.253998693,0.540896265,1542.616968
Nauru,NRU,East Asia & Pacific,0.076290366,4.819741662,8365.072890000001
Tuvalu,TUV,Sub-Saharan Africa,0.0,0.90098207,3197.7722519999998
